# num_threads, VLHT, LFHT, RWHT
1	1.33	1.18	0.92
2	1.72	1.47	1.26
4	3.55	3.52	2.55
8	6.16	7.22	5.9
16	20.23	18.04	10.97
32	24.7	23.97	22.28
64	35.9	36.76	32
