# num_threads, VLHT , LFHT, RWHT
1	1.09	1.05	0.89
2	1.54	1.34	1.22
4	2.96	2.76	2.65
8	5.81	5.63	5.18
16	8.91	7.98	8.21
32	9.35	8.54	8.7
64	5.88	5.73	6.53
