# num_threads, VLHT, LFHT, RWHT
1	1.65	1.6	1.23
2	2.14	2.21	1.69
4	4.63	4.14	3.46
8	9.4	8.6	7.54	
16	19.22	17	14.7
32	32	31.6	29.2
64	47.5	48	44.4
